S,I,R
8500,1500,0
7268,2732,0
6360,3162,478
5471,3669,860
4572,4221,1207
3723,4727,1550
3010,5122,1868
2372,5167,2461
1905,5157,2938
1542,5243,3215
1285,5221,3494
1088,5172,3740
918,5129,3953
797,5086,4117
748,4956,4296
709,4776,4515
732,4643,4625
736,4532,4732
736,4454,4810
743,4341,4916
777,4226,4997
810,4165,5025
887,4060,5053
956,3944,5100
986,3874,5140
980,3843,5177
1001,3818,5181
1011,3784,5205
1012,3766,5222
1051,3723,5226
1073,3683,5244
1088,3648,5264
1105,3614,5281
1099,3572,5329
1137,3549,5314
1125,3534,5341
1162,3501,5337
1204,3520,5276
1240,3457,5303
1240,3481,5279
1262,3449,5289
1294,3446,5260
1321,3435,5244
1352,3476,5172
1372,3444,5184
1333,3505,5162
1330,3481,5189
1330,3459,5211
1319,3467,5214
1325,3469,5206
1349,3480,5171
1315,3495,5190
1358,3419,5223
1360,3437,5203
1351,3438,5211
1345,3431,5224
1354,3457,5189
1342,3444,5214
1352,3439,5209
1337,3487,5176
1369,3455,5176
1369,3455,5176
1349,3476,5175
1345,3467,5188
1341,3509,5150
1361,3510,5129
1298,3513,5189
1289,3513,5198
1294,3489,5217
1316,3470,5214
1312,3473,5215
1293,3484,5223
1321,3478,5201
1302,3479,5219
1344,3457,5199
1326,3477,5197
1287,3494,5219
1276,3527,5197
1272,3535,5193
1290,3527,5183
1290,3557,5153
1284,3550,5166
1289,3533,5178
1286,3553,5161
1281,3527,5192
1285,3505,5210
1325,3463,5212
1324,3517,5159
1344,3484,5172
1318,3483,5199
1319,3462,5219
1291,3479,5230
1307,3440,5253
1308,3454,5238
1316,3455,5229
1339,3450,5211
1313,3490,5197
1309,3517,5174
1357,3498,5145
1339,3526,5135
1348,3500,5152
1323,3506,5171
1291,3524,5185
1291,3509,5200
1306,3531,5163
1304,3502,5194
1326,3520,5154
1311,3540,5149
1347,3545,5108
1322,3522,5156
1316,3509,5175
1311,3511,5178
1320,3471,5209
1296,3514,5190
1306,3524,5170
1296,3517,5187
1343,3523,5134
1332,3537,5131
1320,3573,5107
1302,3586,5112
1274,3600,5126
1271,3583,5146
1249,3584,5167
1270,3554,5176
1261,3564,5175
1255,3533,5212
1272,3520,5208
1301,3515,5184
1281,3516,5203
1273,3527,5200
1266,3515,5219
1272,3507,5221
1252,3489,5259
1261,3496,5243
1266,3501,5233
1281,3495,5224
1311,3487,5202
1309,3460,5231
1298,3462,5240
1266,3495,5239
1300,3460,5240
1317,3444,5239
1317,3473,5210
1319,3464,5217
1320,3506,5174
1311,3513,5176
1334,3516,5150
1345,3496,5159
1324,3502,5174
1340,3496,5164
1333,3532,5135
1308,3562,5130
1304,3555,5141
1292,3578,5130
1253,3601,5146
1249,3586,5165
1270,3576,5154
1254,3573,5173
1278,3566,5156
1283,3574,5143
